Date UTC;HR (%)
14/07/99 12h00;61
14/07/99 15h00;65
14/07/99 18h00;73
14/07/99 21h00;94
15/07/99 00h00;88
15/07/99 03h00;94
15/07/99 06h00;88
15/07/99 09h00;78
15/07/99 12h00;65
15/07/99 15h00;65
15/07/99 18h00;73
15/07/99 21h00;83
16/07/99 00h00;88
16/07/99 03h00;94
16/07/99 06h00;88
16/07/99 09h00;64
16/07/99 12h00;44
16/07/99 15h00;39
16/07/99 18h00;42
16/07/99 21h00;57
17/07/99 00h00;82
17/07/99 03h00;83
17/07/99 06h00;83
17/07/99 09h00;51
17/07/99 12h00;33
17/07/99 15h00;41
17/07/99 18h00;45
17/07/99 21h00;65
18/07/99 00h00;88
18/07/99 03h00;94
18/07/99 06h00;88
18/07/99 09h0018/07/99 12h00;51
18/07/99 15h00;65
18/07/99 18h00;78
18/07/99 21h00;78
19/07/99 00h00;83
19/07/99 03h00;83
19/07/99 06h00;78
19/07/99 09h00;60
19/07/99 12h00;57
19/07/99 15h00;54
19/07/99 18h00;54
19/07/99 21h00;68
20/07/99 00h00;88
20/07/99 03h00;94
20/07/99 06h00;94
20/07/99 09h00;69
20/07/99 12h00;48
20/07/99 15h00;51
20/07/99 18h00;65
